"team","Divisional","Conference","Superbowl","Champion"
"KC","0%","66.36%","44.88%","27.13%"
"NO","0%","58.41%","32.96%","17.74%"
"LAR","0%","59.6%","31.67%","15.43%"
"NE","0%","64.13%","27.34%","14.29%"
"CHI","65.25%","28.13%","13.89%","5.45%"
"SEA","57.82%","25.36%","11.94%","4.71%"
"LAC","47.66%","18.16%","9.34%","4.5%"
"BAL","52.34%","15.48%","6.89%","3.16%"
"HOU","56.79%","20.73%","6.7%","3%"
"IND","43.21%","15.14%","4.85%","2.12%"
"DAL","42.18%","16.22%","5.14%","1.29%"
"PHI","34.75%","12.26%","4.4%","1.16%"
